E:\geetansh\python\college\pp_project>py -m cProfile main.py
         108188 function calls (104310 primitive calls) in 65.865 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:431(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:433(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:44(GOpaque)
        1    0.000    0.000    0.000    0.000 __init__.py:457(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:467(StringVar)
        1    0.000    0.000    0.000    0.000 __init__.py:489(IntVar)
        3    0.000    0.000    0.000    0.000 __init__.py:489(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:490(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:502(__init__)
      134    0.000    0.000    0.001    0.000 __init__.py:51(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:51(Bool)
        1    0.000    0.000    0.000    0.000 __init__.py:512(DoubleVar)
        1    0.000    0.000    0.000    0.000 __init__.py:531(BooleanVar)
        1    0.000    0.000    0.000    0.000 __init__.py:55(Int)
        1    0.000    0.000    0.000    0.000 __init__.py:574(Misc)
        1    0.000    0.000    0.001    0.001 __init__.py:58(__collect_extra_submodules)
       12    0.000    0.000    0.000    0.000 __init__.py:584(destroy)
        1    0.000    0.000    0.000    0.000 __init__.py:59(Double)
       16    0.000    0.000    0.036    0.002 __init__.py:59(modules_filter)
        1    0.000    0.000    0.000    0.000 __init__.py:63(Float)
        1    0.000    0.000    0.000    0.000 __init__.py:632(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:67(String)
        1    0.000    0.000    0.000    0.000 __init__.py:674(Filter)
        1    0.001    0.001    2.466    2.466 __init__.py:7(<module>)
        8    0.000    0.000    0.000    0.000 __init__.py:7(register)
        1    0.000    0.000    0.417    0.417 __init__.py:71(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:71(Point)
        1    0.000    0.000    0.000    0.000 __init__.py:711(Filterer)
        5    0.000    0.000    0.000    0.000 __init__.py:716(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:74(UnidentifiedImageError)
        1    0.000    0.000    0.000    0.000 __init__.py:75(Point2f)
        1    0.003    0.003    0.484    0.484 __init__.py:77(bootstrap)
        1    0.000    0.000    0.000    0.000 __init__.py:783(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:79(Size)
        1    0.000    0.000    0.000    0.000 __init__.py:793(Handler)
        8    0.000    0.000    0.000    0.000 __init__.py:8(parameterized)
        1    0.000    0.000    0.000    0.000 __init__.py:802(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:83(Rect)
        1    0.000    0.000    0.000    0.000 __init__.py:831(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:87(Prim)
        1    0.000    0.000    0.000    0.000 __init__.py:9(Mat)
        1    0.000    0.000    0.000    0.000 __init__.py:91(Any)
        1    0.000    0.000    0.001    0.001 __init__.py:95(GArray)
       53    0.001    0.000    0.001    0.000 __init__.py:96(_cnfmerge)
        1    0.000    0.000    0.052    0.052 __init__.py:97(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:982(StreamHandler)
        3    0.000    0.000    0.000    0.000 __init__.py:99(CFunctionType)
        1    0.000    0.000    0.182    0.182 _add_newdocs.py:10(<module>)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6230(refer_to_array_attribute)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:17(numeric_type_aliases)
       16    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:18(type_aliases_gen)
        1    0.000    0.000    0.435    0.435 _add_newdocs_scalars.py:5(<module>)
       24    0.000    0.000    0.156    0.007 _add_newdocs_scalars.py:55(add_newdoc_for_scalar_type)
       34    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:61(<genexpr>)
       39    0.000    0.000    0.154    0.004 _add_newdocs_scalars.py:62(<genexpr>)
        1    0.000    0.000    0.001    0.001 _asarray.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _binary.py:15(<module>)
        2    0.000    0.000    0.000    0.000 _binary.py:60(i32le)
       50    0.000    0.000    0.000    0.000 _binary.py:80(i16be)
        2    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:349(__subclasshook__)
        5    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
       86    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.001    0.001    0.001    0.001 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.000    0.000 _datasource.py:196(DataSource)
        1    0.000    0.000    0.000    0.000 _datasource.py:36(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:536(Repository)
        1    0.000    0.000    0.000    0.000 _datasource.py:74(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _datasource.py:99(__init__)
        1    0.000    0.000    3.527    3.527 _distributor_init.py:7(<module>)
       16    0.000    0.000    0.000    0.000 _dtype.py:24(_kind_name)
        1    0.000    0.000    0.000    0.000 _dtype.py:5(<module>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
        1    0.000    0.000    0.000    0.000 _dtype_ctypes.py:24(<module>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:71(_from_ctypes_scalar)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:46(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _exceptions.py:118(TooHardError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:123(AxisError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:141(_ArrayMemoryError)
        6    0.000    0.000    0.000    0.000 _exceptions.py:17(_display_as_base)
        1    0.000    0.000    0.000    0.000 _exceptions.py:32(UFuncTypeError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:38(_UFuncBinaryResolutionError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:54(_UFuncNoLoopError)
        1    0.000    0.000    0.001    0.001 _exceptions.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:72(_UFuncCastingError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:81(_UFuncInputCastingError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:99(_UFuncOutputCastingError)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
        1    0.000    0.000    0.000    0.000 _globals.py:30(ModuleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:44(VisibleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:57(_NoValueType)
        1    0.000    0.000    0.000    0.000 _globals.py:77(__new__)
        9    0.000    0.000    0.000    0.000 _globals.py:87(__repr__)
      616    0.001    0.000    0.002    0.000 _inspect.py:13(ismethod)
       90    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
       40    0.001    0.000    0.002    0.000 _inspect.py:140(formatargspec)
       15    0.000    0.000    0.000    0.000 _inspect.py:142(<lambda>)
       16    0.000    0.000    0.000    0.000 _inspect.py:143(<lambda>)
       59    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
      616    0.001    0.000    0.001    0.000 _inspect.py:26(isfunction)
      612    0.001    0.000    0.001    0.000 _inspect.py:41(iscode)
      612    0.009    0.000    0.010    0.000 _inspect.py:65(getargs)
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
      616    0.004    0.000    0.017    0.000 _inspect.py:96(getargspec)
        1    0.000    0.000    0.000    0.000 _internal.py:205(dummy_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:217(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:240(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:244(c_void_p)
        1    0.000    0.000    0.000    0.000 _internal.py:249(_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:559(_Stream)
        1    0.000    0.000    0.039    0.039 _internal.py:6(<module>)
       50    0.001    0.000    0.001    0.000 _internal.py:815(_ufunc_doc_signature_formatter)
       78    0.000    0.000    0.000    0.000 _internal.py:826(<genexpr>)
       13    0.000    0.000    0.000    0.000 _internal.py:863(npy_ctypes_check)
        1    0.000    0.000    0.000    0.000 _internal.py:881(recursive)
        1    0.000    0.000    0.000    0.000 _iotools.py:134(LineSplitter)
        1    0.000    0.000    0.000    0.000 _iotools.py:230(NameValidator)
        1    0.000    0.000    0.001    0.001 _iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:422(ConverterError)
        1    0.000    0.000    0.000    0.000 _iotools.py:430(ConverterLockError)
        1    0.000    0.000    0.000    0.000 _iotools.py:438(ConversionWarning)
        1    0.000    0.000    0.000    0.000 _iotools.py:451(StringConverter)
        1    0.000    0.000    0.005    0.005 _methods.py:5(<module>)
        1    0.000    0.000    2.476    2.476 _pickle.py:1(<module>)
        1    0.000    0.000    0.126    0.126 _pocketfft.py:29(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
        1    0.000    0.000    0.001    0.001 _polybase.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:29(<module>)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:48(PytestTester)
        9    0.000    0.000    0.000    0.000 _pytesttester.py:78(__init__)
       49    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
        1    0.000    0.000    0.001    0.001 _string_helpers.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:130(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:158(_set_up_aliases)
        1    0.001    0.001    0.026    0.026 _type_aliases.py:18(<module>)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:203(_add_array_type)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:211(_set_array_types)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:41(<setcomp>)
       16    0.000    0.000    0.001    0.000 _type_aliases.py:44(_bits_of)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:46(<genexpr>)
       16    0.000    0.000    0.001    0.000 _type_aliases.py:58(bitname)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:74(_add_types)
        6    0.000    0.000    0.000    0.000 _type_aliases.py:92(<genexpr>)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:94(_add_aliases)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:131(geterr)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:29(<dictcomp>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:359(_unspecified)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:366(errstate)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:425(__init__)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:429(__enter__)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:434(__exit__)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:440(_setdef)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _util.py:14(deferred_error)
        4    0.000    0.000    0.000    0.000 _util.py:5(isPath)
        1    0.000    0.000    0.000    0.000 _version.py:14(NumpyVersion)
        1    0.000    0.000    0.000    0.000 _version.py:2(<module>)
        3    0.000    0.000    0.029    0.010 _version.py:20(get_versions)
        2    0.000    0.000    0.060    0.030 _version.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
       32    0.000    0.000    0.004    0.000 abc.py:125(__new__)
       12    0.000    0.000    0.001    0.000 abc.py:130(register)
        1    0.000    0.000    0.000    0.000 abc.py:137(__instancecheck__)
    27/13    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
       63    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        1    0.000    0.000    0.001    0.001 arraypad.py:5(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1184(IntegerFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1197(BoolFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1207(ComplexFloatingFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1240(_TimelikeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1266(DatetimeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1298(TimedeltaFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1303(SubArrayFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1313(StructuredVoidFormat)
       15    0.001    0.000    0.001    0.000 arrayprint.py:1527(_guarded_repr_or_str)
       15    0.000    0.000    0.001    0.000 arrayprint.py:1534(_array_str_implementation)
        2    0.000    0.000    0.000    0.000 arrayprint.py:455(_recursive_guard)
        2    0.000    0.000    0.000    0.000 arrayprint.py:465(decorating_function)
       15    0.000    0.000    0.001    0.000 arrayprint.py:468(wrapper)
        1    0.000    0.000    0.004    0.004 arrayprint.py:5(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:867(FloatingFormat)
        1    0.000    0.000    0.004    0.004 arraysetops.py:16(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:16(Arrayterator)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:247(NodeVisitor)
        1    0.000    0.000    0.001    0.001 ast.py:26(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:284(NodeTransformer)
        1    0.000    0.000    0.009    0.009 base64.py:3(<module>)
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:28(BZ2File)
        1    0.000    0.000    0.074    0.074 bz2.py:5(<module>)
        1    0.000    0.000    0.001    0.001 chebyshev.py:109(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1993(Chebyshev)
        2    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        1    0.000    0.000    0.000    0.000 config-3.py:2(<module>)
        1    0.000    0.000    0.000    0.000 config.py:1(<module>)
        1    0.000    0.000    0.000    0.000 constants.py:4(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
        1    0.000    0.000    0.000    0.000 contextlib.py:58(_recreate_cm)
        1    0.000    0.000    0.000    0.000 contextlib.py:70(__call__)
        1    0.000    0.000    0.001    0.001 contextlib.py:71(inner)
        1    0.000    0.000    0.004    0.004 copy.py:49(<module>)
        1    0.000    0.000    0.000    0.000 copy.py:55(Error)
        1    0.000    0.000    0.000    0.000 copy.py:66(copy)
        2    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        1    0.000    0.000    0.000    0.000 copyreg.py:22(constructor)
        1    0.000    0.000    0.000    0.000 core.py:1120(_DomainedBinaryOperation)
        6    0.000    0.000    0.000    0.000 core.py:1141(__init__)
       14    0.000    0.000    0.010    0.001 core.py:116(doc_note)
        1    0.000    0.000    0.000    0.000 core.py:1278(_replace_dtype_fields_recursive)
        1    0.000    0.000    0.000    0.000 core.py:1310(_replace_dtype_fields)
       44    0.000    0.000    0.003    0.000 core.py:132(get_object_signature)
        1    0.000    0.000    0.000    0.000 core.py:1324(make_mask_descr)
        3    0.000    0.000    0.000    0.000 core.py:1357(getmask)
        1    0.000    0.000    0.000    0.000 core.py:149(MAError)
        1    0.000    0.000    0.000    0.000 core.py:157(MaskError)
        1    0.000    0.000    0.000    0.000 core.py:191(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:192(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:195(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:196(<listcomp>)
        1    0.002    0.002    0.135    0.135 core.py:21(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2381(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 core.py:2387(__init__)
        7    0.000    0.000    0.000    0.000 core.py:2553(_arraymethod)
        1    0.000    0.000    0.000    0.000 core.py:2598(MaskedIterator)
        1    0.003    0.003    0.003    0.003 core.py:2706(MaskedArray)
        1    0.000    0.000    0.000    0.000 core.py:2817(__new__)
        2    0.000    0.000    0.000    0.000 core.py:2948(_update_from)
        2    0.000    0.000    0.000    0.000 core.py:2974(__array_finalize__)
        1    0.000    0.000    0.000    0.000 core.py:3123(view)
        4    0.000    0.000    0.000    0.000 core.py:3405(dtype)
        2    0.000    0.000    0.000    0.000 core.py:3421(shape)
        1    0.000    0.000    0.000    0.000 core.py:6234(mvoid)
        1    0.000    0.000    0.000    0.000 core.py:6429(MaskedConstant)
        4    0.000    0.000    0.000    0.000 core.py:6433(__has_singleton)
        1    0.000    0.000    0.001    0.001 core.py:6439(__new__)
        1    0.000    0.000    0.000    0.000 core.py:6457(__array_finalize__)
        2    0.000    0.000    0.000    0.000 core.py:6532(__setattr__)
        1    0.000    0.000    0.000    0.000 core.py:6624(_extrema_operation)
        2    0.000    0.000    0.000    0.000 core.py:6633(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6739(_frommethod)
       26    0.000    0.000    0.003    0.000 core.py:6750(__init__)
       26    0.001    0.000    0.003    0.000 core.py:6755(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:792(_DomainCheckInterval)
        3    0.000    0.000    0.000    0.000 core.py:801(__init__)
        1    0.000    0.000    0.000    0.000 core.py:8085(_convert2ma)
        8    0.000    0.000    0.001    0.000 core.py:8098(__init__)
        8    0.000    0.000    0.001    0.000 core.py:8103(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:817(_DomainTan)
        1    0.000    0.000    0.000    0.000 core.py:825(__init__)
        1    0.000    0.000    0.000    0.000 core.py:835(_DomainSafeDivide)
        6    0.000    0.000    0.000    0.000 core.py:841(__init__)
        1    0.000    0.000    0.000    0.000 core.py:85(MaskedArrayFutureWarning)
        1    0.000    0.000    0.000    0.000 core.py:856(_DomainGreater)
        3    0.000    0.000    0.000    0.000 core.py:862(__init__)
        1    0.000    0.000    0.000    0.000 core.py:872(_DomainGreaterEqual)
        2    0.000    0.000    0.000    0.000 core.py:878(__init__)
        1    0.000    0.000    0.000    0.000 core.py:888(_MaskedUFunc)
       52    0.002    0.000    0.003    0.000 core.py:889(__init__)
        1    0.000    0.000    0.000    0.000 core.py:898(_MaskedUnaryOperation)
       26    0.000    0.000    0.002    0.000 core.py:916(__init__)
        1    0.000    0.000    0.000    0.000 core.py:972(_MaskedBinaryOperation)
       18    0.000    0.000    0.001    0.000 core.py:992(__init__)
        2    0.000    0.000    0.000    0.000 cp1252.py:22(decode)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:174(_ndptr)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:195(_concrete_ndptr)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:354(_get_scalar_type_map)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:365(<dictcomp>)
        1    0.000    0.000    0.002    0.002 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1092(tzinfo)
        1    0.000    0.000    0.000    0.000 datetime.py:1162(time)
        2    0.000    0.000    0.000    0.000 datetime.py:1187(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1509(datetime)
        3    0.000    0.000    0.000    0.000 datetime.py:1517(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:2136(timezone)
        3    0.000    0.000    0.000    0.000 datetime.py:2156(_create)
       35    0.000    0.000    0.000    0.000 datetime.py:379(_check_int_field)
        5    0.000    0.000    0.000    0.000 datetime.py:396(_check_date_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:409(_check_time_fields)
        3    0.000    0.000    0.000    0.000 datetime.py:41(_days_before_year)
        5    0.000    0.000    0.000    0.000 datetime.py:426(_check_tzinfo_arg)
        1    0.000    0.000    0.000    0.000 datetime.py:454(timedelta)
        5    0.000    0.000    0.000    0.000 datetime.py:46(_days_in_month)
       12    0.001    0.000    0.001    0.000 datetime.py:473(__new__)
        1    0.045    0.045    0.096    0.096 datetime.py:5(<module>)
        2    0.000    0.000    0.000    0.000 datetime.py:646(__neg__)
        1    0.000    0.000    0.000    0.000 datetime.py:774(date)
        2    0.000    0.000    0.000    0.000 datetime.py:804(__new__)
        1    0.000    0.000    0.310    0.310 decimal.py:2(<module>)
        1    0.000    0.000    0.016    0.016 decoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 decoder.py:20(JSONDecodeError)
        1    0.000    0.000    0.000    0.000 decoder.py:254(JSONDecoder)
        1    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
        3    0.000    0.000    0.029    0.010 decoder.py:332(decode)
        3    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
        1    0.001    0.001    0.022    0.022 defchararray.py:17(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1805(chararray)
        1    0.000    0.000    0.426    0.426 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:72(matrix)
        1    0.000    0.000    0.033    0.033 dis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dis.py:199(Instruction)
        1    0.000    0.000    0.000    0.000 dis.py:461(Bytecode)
        1    0.000    0.000    0.001    0.001 einsumfunc.py:4(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
        1    0.000    0.000    0.005    0.005 encoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:73(JSONEncoder)
        8    0.000    0.000    0.001    0.000 enum.py:125(__prepare__)
        8    0.006    0.001    0.014    0.002 enum.py:135(__new__)
        8    0.000    0.000    0.000    0.000 enum.py:152(<dictcomp>)
        8    0.002    0.000    0.002    0.000 enum.py:177(<setcomp>)
       83    0.000    0.000    0.001    0.000 enum.py:18(_is_descriptor)
       24    0.000    0.000    0.000    0.000 enum.py:198(<genexpr>)
      105    0.000    0.000    0.001    0.000 enum.py:26(_is_dunder)
      100    0.001    0.000    0.012    0.000 enum.py:284(__call__)
        8    0.000    0.000    0.000    0.000 enum.py:335(__getattr__)
      105    0.000    0.000    0.001    0.000 enum.py:34(_is_sunder)
        6    0.000    0.000    0.000    0.000 enum.py:360(__members__)
      137    0.002    0.000    0.002    0.000 enum.py:376(__setattr__)
        6    0.000    0.000    0.010    0.002 enum.py:389(_create_)
       22    0.000    0.000    0.001    0.000 enum.py:442(_get_mixins_)
       22    0.000    0.000    0.000    0.000 enum.py:453(_find_data_type)
        8    0.000    0.000    0.001    0.000 enum.py:474(_find_new_)
       94    0.001    0.000    0.002    0.000 enum.py:526(__new__)
       36    0.000    0.000    0.000    0.000 enum.py:623(name)
       21    0.000    0.000    0.000    0.000 enum.py:628(value)
        6    0.000    0.000    0.014    0.002 enum.py:633(_convert)
        8    0.000    0.000    0.000    0.000 enum.py:64(__init__)
        6    0.001    0.000    0.004    0.001 enum.py:654(<listcomp>)
       39    0.000    0.000    0.000    0.000 enum.py:659(<lambda>)
      105    0.002    0.000    0.003    0.000 enum.py:70(__setitem__)
        3    0.000    0.000    0.001    0.000 enum.py:793(_missing_)
        3    0.000    0.000    0.001    0.000 enum.py:800(_create_pseudo_member_)
        6    0.000    0.000    0.002    0.000 enum.py:830(__or__)
       41    0.001    0.000    0.002    0.000 enum.py:836(__and__)
        6    0.000    0.000    0.000    0.000 enum.py:855(_high_bit)
        3    0.000    0.000    0.001    0.000 enum.py:872(_decompose)
        3    0.000    0.000    0.001    0.000 enum.py:890(<listcomp>)
        7    0.000    0.000    0.000    0.000 enum.py:901(<lambda>)
        9    0.000    0.000    0.000    0.000 enum.py:907(_power_of_two)
        1    0.000    0.000    0.009    0.009 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:1467(MAxisConcatenator)
        1    0.000    0.000    0.000    0.000 extras.py:1497(mr_class)
        1    0.000    0.000    0.000    0.000 extras.py:1515(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:215(_fromnxfunction)
       10    0.000    0.000    0.006    0.001 extras.py:235(__init__)
       10    0.000    0.000    0.006    0.001 extras.py:239(getdoc)
        1    0.000    0.000    0.000    0.000 extras.py:265(_fromnxfunction_single)
        1    0.000    0.000    0.000    0.000 extras.py:283(_fromnxfunction_seq)
        1    0.000    0.000    0.000    0.000 extras.py:296(_fromnxfunction_args)
        1    0.000    0.000    0.000    0.000 extras.py:321(_fromnxfunction_allargs)
        1    0.000    0.000    0.013    0.013 fnmatch.py:11(<module>)
        1    0.000    0.000    0.002    0.002 fnmatch.py:38(_compile_pattern)
        1    0.000    0.000    0.002    0.002 fnmatch.py:48(filter)
        1    0.000    0.000    0.000    0.000 fnmatch.py:74(translate)
       13    0.000    0.000    0.000    0.000 font.py:111(__del__)
        1    0.000    0.000    0.000    0.000 font.py:25(Font)
       13    0.000    0.000    0.000    0.000 font.py:49(_set)
        1    0.000    0.000    0.000    0.000 font.py:6(<module>)
       13    0.000    0.000    0.001    0.000 font.py:68(__init__)
       22    0.000    0.000    0.000    0.000 font.py:99(__str__)
        1    0.000    0.000    0.000    0.000 format.py:163(<module>)
        4    0.000    0.000    0.000    0.000 fractions.py:294(_operator_fallbacks)
        1    0.000    0.000    0.344    0.344 fractions.py:4(<module>)
        1    0.000    0.000    0.000    0.000 fractions.py:60(Fraction)
        1    0.000    0.000    0.028    0.028 fromnumeric.py:3(<module>)
        2    0.001    0.000    0.046    0.023 function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 function_base.py:1951(vectorize)
      284    0.001    0.000    0.001    0.000 function_base.py:443(_needs_add_docstring)
      284    0.001    0.000    0.003    0.000 function_base.py:461(_add_docstring)
      284    0.002    0.000    0.182    0.001 function_base.py:475(add_newdoc)
      328    0.006    0.000    0.011    0.000 functools.py:37(update_wrapper)
        2    0.000    0.000    0.000    0.000 functools.py:458(lru_cache)
        2    0.000    0.000    0.000    0.000 functools.py:492(decorating_function)
      326    0.001    0.000    0.001    0.000 functools.py:67(wraps)
        1    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
        3    0.000    0.000    0.014    0.005 genericpath.py:16(exists)
        4    0.000    0.000    0.001    0.000 genericpath.py:27(isfile)
       30    0.000    0.000    0.000    0.000 getlimits.py:17(_fr0)
       30    0.000    0.000    0.000    0.000 getlimits.py:25(_fr1)
        1    0.000    0.000    0.000    0.000 getlimits.py:295(finfo)
        1    0.000    0.000    0.001    0.001 getlimits.py:3(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:32(MachArLike)
        6    0.001    0.000    0.004    0.001 getlimits.py:35(__init__)
       36    0.000    0.000    0.000    0.000 getlimits.py:39(<lambda>)
       30    0.000    0.000    0.001    0.000 getlimits.py:40(<lambda>)
       30    0.000    0.000    0.002    0.000 getlimits.py:41(<lambda>)
        1    0.000    0.000    0.000    0.000 getlimits.py:461(iinfo)
        7    0.000    0.000    0.000    0.000 getlimits.py:514(__init__)
